text,label
bonjour!,French
bon retour!,French
qué alegría verte.,Spanish
hi there.,English
hola a todos,Spanish
hi there.,English
dear friend :),English
coucou.,French
enchanté!,French
salut tout le monde!,French
salut mon ami,French
howdy :),English
ravie de vous rencontrer,French
ça fait longtemps!!,French
hello again,English
je suis ravi de vous voir :),French
hi there :),English
qué hay.,Spanish
qué tal amigos!!,Spanish
it's great to see you!!,English
bienvenido :),Spanish
hi there!,English
salut.,French
it's great to see you,English
cómo estás :),Spanish
salut!!,French
qué tal amigos,Spanish
buenas noches a todos!,Spanish
hello my friend!!,English
rebonjour,French
salut les amis :),French
mucho gusto.,Spanish
good evening!,English
bienvenue :),French
good to see you :),English
hello!!,English
hey buddy!,English
comment ça va!,French
ravie de vous rencontrer!,French
ça va bien!,French
welcome!,English
bienvenido de nuevo.,Spanish
hola mi amigo!!,Spanish
ça va bien.,French
heureux de vous revoir!,French
buenas tardes!,Spanish
qué tal :),Spanish
salutations!,French
how’s your day!!,English
bienvenue,French
qué tal todo!!,Spanish
hola!,Spanish
ça fait longtemps.,French
salut les amis!!,French
how have you been,English
welcome :),English
bon matin,French
hope you're well :),English
salut tout le monde.,French
bonjour à tous,French
bienvenue!,French
good evening!,English
ça fait longtemps!,French
cómo ha ido tu día!!,Spanish
encantado!,Spanish
sup!!,English
comment ça va!!,French
encantado :),Spanish
hey team :),English
how's it going :),English
ravie de vous rencontrer!!,French
bienvenue.,French
howdy!!,English
cómo ha ido tu día.,Spanish
hey!!,English
hola a todos,Spanish
salut!,French
comment allez-vous!!,French
ça gaze!,French
bonjour à tous.,French
hola!,Spanish
qué onda,Spanish
allô.,French
bonjour.,French
nice to meet you!,English
bonjour à tous,French
buenas!!,Spanish
hello my friend.,English
hi there :),English
hey :),English
hi folks,English
qué onda!!,Spanish
salut!,French
bonjour à tous.,French
hola,Spanish
welcome.,English
greetings :),English
bienvenido :),Spanish
salut les amis,French
encantado :),Spanish
bienvenido de nuevo!!,Spanish
cómo estás.,Spanish
bonjour à tous.,French
bonsoir!!,French
comment ça va.,French
hello,English
hello,English
ravie de vous rencontrer,French
hello again,English
bonsoir,French
qué pasa!!,Spanish
hola mi amigo,Spanish
hola chicos!!,Spanish
good morning!!,English
ça fait longtemps!!,French
what's up!!,English
good morning!,English
hey buddy!!,English
hola a todos!!,Spanish
buenas.,Spanish
dear friend,English
how’s your day.,English
salut mon ami!!,French
good evening :),English
it's great to see you!!,English
nice to meet you!!,English
hola amigo :),Spanish
qué tal!,Spanish
how are you,English
good evening :),English
hello world!,English
salut!!,French
bon début de soirée.,French
je suis ravi de vous voir,French
hope you're well!!,English
cómo te va.,Spanish
hey team!,English
salut tout le monde!!,French
hola,Spanish
comment ça va,French
bonsoir!!,French
bienvenido de nuevo :),Spanish
bienvenue!!,French
hi there :),English
hi there,English
encantado.,Spanish
salut tout le monde.,French
yo!,English
hello world,English
hola a todos.,Spanish
comment va ta journée.,French
salut tout le monde :),French
howdy.,English
how have you been,English
comment va ta journée!,French
long time no see!,English
enchanté,French
hola :),Spanish
comment va ta journée,French
hola chicos!,Spanish
comment ça va!!,French
hi!,English
how's it going!,English
